Dataset,Method,Accuracy,Precision,Recall,F1-Score
SST,Zero-shot,0.24432334241598547,0.24174432642994234,0.24432334241598547,0.21237734842242853
SST,Fine-tuning,0.4232515894641235,0.44112528510816945,0.4232515894641235,0.3888204223673275
SST,LoRA,0.27338782924613986,0.21783243297208887,0.27338782924613986,0.20717445270804824
CFIMDB,Zero-shot,0.4816326530612245,0.4688252862120458,0.4816326530612245,0.4154423721421928
CFIMDB,Fine-tuning,0.8367346938775511,0.8371157987004325,0.8367346938775511,0.8367020495214881
CFIMDB,LoRA,0.5061224489795918,0.5076499311380994,0.5061224489795918,0.4922592194772646
